timestamp,datetime,locomotive_id,event_type,location,from_location,to_location,purpose,coupler_type,wagon_count,duration_min
360.0,2025-12-01T06:00:00+00:00,LOCO_01,MOVING,collection1,track_19,collection1,,,0,60.0
420.0,2025-12-01T07:00:00+00:00,LOCO_01,ALLOCATED,,,,batch_transport,,0,0.0
420.0,2025-12-01T07:00:00+00:00,LOCO_01,RAKE_COUPLING_STARTED,collection1,,,,SCREW,6,10.0
430.0,2025-12-01T07:10:00+00:00,LOCO_01,RAKE_COUPLING_COMPLETED,collection1,,,,SCREW,6,10.0
430.0,2025-12-01T07:10:00+00:00,LOCO_01,LOCO_COUPLING_STARTED,collection1,,,,SCREW,6,2.0
432.0,2025-12-01T07:12:00+00:00,LOCO_01,LOCO_COUPLING_COMPLETED,collection1,,,,SCREW,6,2.0
432.0,2025-12-01T07:12:00+00:00,LOCO_01,SHUNTING_PREP,collection1,,,,,6,1.0
433.0,2025-12-01T07:13:00+00:00,LOCO_01,MOVING,retrofit1,collection1,retrofit1,,,0,60.0
493.0,2025-12-01T08:13:00+00:00,LOCO_01,LOCO_DECOUPLING_STARTED,retrofit1,,,,SCREW,6,3.0
496.0,2025-12-01T08:16:00+00:00,LOCO_01,LOCO_DECOUPLING_COMPLETED,retrofit1,,,,SCREW,6,3.0
496.0,2025-12-01T08:16:00+00:00,LOCO_01,RAKE_DECOUPLING_STARTED,retrofit1,,,,SCREW,6,15.0
511.0,2025-12-01T08:31:00+00:00,LOCO_01,RAKE_DECOUPLING_COMPLETED,retrofit1,,,,SCREW,6,15.0
526.0,2025-12-01T08:46:00+00:00,LOCO_01,MOVING,track_19,retrofit1,track_19,,,0,5.0
531.0,2025-12-01T08:51:00+00:00,LOCO_01,PARKING,,,,,,0,55.5
586.5,2025-12-01T09:46:30+00:00,LOCO_01,ALLOCATED,,,,batch_transport,,0,0.0
586.5,2025-12-01T09:46:30+00:00,LOCO_01,MOVING,retrofitted1,track_19,retrofitted1,,,0,5.0
591.5,2025-12-01T09:51:30+00:00,LOCO_01,RAKE_COUPLING_STARTED,retrofitted1,,,,DAC,6,2.5
594.0,2025-12-01T09:54:00+00:00,LOCO_01,RAKE_COUPLING_COMPLETED,retrofitted1,,,,DAC,6,2.5
594.0,2025-12-01T09:54:00+00:00,LOCO_01,LOCO_COUPLING_STARTED,retrofitted1,,,,DAC,6,0.5
594.5,2025-12-01T09:54:30+00:00,LOCO_01,LOCO_COUPLING_COMPLETED,retrofitted1,,,,DAC,6,0.5
594.5,2025-12-01T09:54:30+00:00,LOCO_01,SHUNTING_PREP,retrofitted1,,,,,6,1.0
595.5,2025-12-01T09:55:30+00:00,LOCO_01,MOVING,parking10,retrofitted1,parking10,,,0,60.0
655.5,2025-12-01T10:55:30+00:00,LOCO_01,LOCO_DECOUPLING_STARTED,parking10,,,,DAC,6,0.5
656.0,2025-12-01T10:56:00+00:00,LOCO_01,LOCO_DECOUPLING_COMPLETED,parking10,,,,DAC,6,0.5
656.0,2025-12-01T10:56:00+00:00,LOCO_01,RAKE_DECOUPLING_STARTED,parking10,,,,DAC,6,2.5
658.5,2025-12-01T10:58:30+00:00,LOCO_01,RAKE_DECOUPLING_COMPLETED,parking10,,,,DAC,6,2.5
661.0,2025-12-01T11:01:00+00:00,LOCO_01,MOVING,track_19,parking10,track_19,,,0,142.0
803.0,2025-12-01T13:23:00+00:00,LOCO_01,MOVING,retrofit1,track_19,retrofit1,,,0,5.0
808.0,2025-12-01T13:28:00+00:00,LOCO_01,COUPLING_STARTED,retrofit1,,,,SCREW,0,2.0
810.0,2025-12-01T13:30:00+00:00,LOCO_01,COUPLING_COMPLETED,retrofit1,,,,SCREW,0,2.0
810.0,2025-12-01T13:30:00+00:00,LOCO_01,SHUNTING_PREP,retrofit1,,,,,0,1.0
811.0,2025-12-01T13:31:00+00:00,LOCO_01,MOVING,WS_03,retrofit1,WS_03,,,0,5.0
816.0,2025-12-01T13:36:00+00:00,LOCO_01,DECOUPLING_STARTED,WS_03,,,,SCREW,0,3.0
819.0,2025-12-01T13:39:00+00:00,LOCO_01,DECOUPLING_COMPLETED,WS_03,,,,SCREW,0,3.0
822.0,2025-12-01T13:42:00+00:00,LOCO_01,MOVING,track_19,WS_03,track_19,,,0,60.5
882.5,2025-12-01T14:42:30+00:00,LOCO_01,MOVING,WS_03,track_19,WS_03,,,0,5.0
887.5,2025-12-01T14:47:30+00:00,LOCO_01,RAKE_COUPLING_STARTED,WS_03,,,,DAC,2,0.5
888.0,2025-12-01T14:48:00+00:00,LOCO_01,RAKE_COUPLING_COMPLETED,WS_03,,,,DAC,2,0.5
888.0,2025-12-01T14:48:00+00:00,LOCO_01,LOCO_COUPLING_STARTED,WS_03,,,,DAC,2,0.5
888.5,2025-12-01T14:48:30+00:00,LOCO_01,LOCO_COUPLING_COMPLETED,WS_03,,,,DAC,2,0.5
888.5,2025-12-01T14:48:30+00:00,LOCO_01,SHUNTING_PREP,WS_03,,,,,2,1.0
889.5,2025-12-01T14:49:30+00:00,LOCO_01,MOVING,retrofitted1,WS_03,retrofitted1,,,0,5.0
894.5,2025-12-01T14:54:30+00:00,LOCO_01,MOVING,track_19,retrofitted1,track_19,,,0,7.0
901.5,2025-12-01T15:01:30+00:00,LOCO_01,MOVING,retrofit1,track_19,retrofit1,,,0,5.0
906.5,2025-12-01T15:06:30+00:00,LOCO_01,COUPLING_STARTED,retrofit1,,,,SCREW,0,2.0
908.5,2025-12-01T15:08:30+00:00,LOCO_01,COUPLING_COMPLETED,retrofit1,,,,SCREW,0,2.0
908.5,2025-12-01T15:08:30+00:00,LOCO_01,SHUNTING_PREP,retrofit1,,,,,0,1.0
909.5,2025-12-01T15:09:30+00:00,LOCO_01,MOVING,WS_02,retrofit1,WS_02,,,0,5.0
914.5,2025-12-01T15:14:30+00:00,LOCO_01,DECOUPLING_STARTED,WS_02,,,,SCREW,0,3.0
917.5,2025-12-01T15:17:30+00:00,LOCO_01,DECOUPLING_COMPLETED,WS_02,,,,SCREW,0,3.0
920.5,2025-12-01T15:20:30+00:00,LOCO_01,MOVING,track_19,WS_02,track_19,,,0,15.5
936.0,2025-12-01T15:36:00+00:00,LOCO_01,MOVING,collection2,track_19,collection2,,,0,60.0
996.0,2025-12-01T16:36:00+00:00,LOCO_01,ALLOCATED,,,,batch_transport,,0,0.0
996.0,2025-12-01T16:36:00+00:00,LOCO_01,RAKE_COUPLING_STARTED,collection2,,,,SCREW,9,16.0
1012.0,2025-12-01T16:52:00+00:00,LOCO_01,RAKE_COUPLING_COMPLETED,collection2,,,,SCREW,9,16.0
