train_id,arrival_date,arrival_time,wagon_id,length,is_loaded,needs_retrofit
TRAIN01,2025-01-15,08:00,WAGON01_01,16.5,true,true
TRAIN01,2025-01-15,08:00,WAGON01_02,16.5,false,true
TRAIN01,2025-01-15,08:00,WAGON01_03,16.5,true,true
TRAIN01,2025-01-15,08:00,WAGON01_04,16.5,true,false
TRAIN01,2025-01-15,08:00,WAGON01_05,16.5,true,true
TRAIN01,2025-01-15,08:00,WAGON01_06,16.5,false,true
TRAIN01,2025-01-15,08:00,WAGON01_07,16.5,true,true
TRAIN01,2025-01-15,08:00,WAGON01_08,16.5,true,false
TRAIN01,2025-01-15,08:00,WAGON01_09,16.5,true,true
TRAIN01,2025-01-15,08:00,WAGON01_10,16.5,false,true
TRAIN01,2025-01-15,08:00,WAGON01_11,16.5,true,true
TRAIN01,2025-01-15,08:00,WAGON01_12,16.5,true,false
TRAIN01,2025-01-15,08:00,WAGON01_13,16.5,true,true
TRAIN01,2025-01-15,08:00,WAGON01_14,16.5,false,true
TRAIN01,2025-01-15,08:00,WAGON01_15,16.5,true,true
TRAIN01,2025-01-15,08:00,WAGON01_16,16.5,true,false
TRAIN01,2025-01-15,08:00,WAGON01_17,16.5,true,true
TRAIN01,2025-01-15,08:00,WAGON01_18,16.5,false,true
TRAIN01,2025-01-15,08:00,WAGON01_19,16.5,true,true
TRAIN01,2025-01-15,08:00,WAGON01_20,16.5,true,false
TRAIN01,2025-01-15,08:00,WAGON01_21,16.5,true,true
TRAIN01,2025-01-15,08:00,WAGON01_22,16.5,false,true
TRAIN01,2025-01-15,08:00,WAGON01_23,16.5,true,true
TRAIN01,2025-01-15,08:00,WAGON01_24,16.5,true,false
TRAIN01,2025-01-15,08:00,WAGON01_25,16.5,true,true
TRAIN01,2025-01-15,08:00,WAGON01_26,16.5,false,true
TRAIN01,2025-01-15,08:00,WAGON01_27,16.5,true,true
TRAIN01,2025-01-15,08:00,WAGON01_28,16.5,true,false
TRAIN01,2025-01-15,08:00,WAGON01_29,16.5,true,true
TRAIN01,2025-01-15,08:00,WAGON01_30,16.5,false,true
TRAIN01,2025-01-15,08:00,WAGON01_31,16.5,true,true
TRAIN01,2025-01-15,08:00,WAGON01_32,16.5,true,false
TRAIN01,2025-01-15,08:00,WAGON01_33,16.5,true,true
TRAIN01,2025-01-15,08:00,WAGON01_34,16.5,false,true
TRAIN01,2025-01-15,08:00,WAGON01_35,16.5,true,true
TRAIN01,2025-01-15,08:00,WAGON01_36,16.5,true,false
TRAIN01,2025-01-15,08:00,WAGON01_37,16.5,true,true
TRAIN01,2025-01-15,08:00,WAGON01_38,16.5,false,true
