train_id;wagon_id;arrival_time;length;is_loaded;needs_retrofit;Track
0;1078;2031-07-04T15:45:00+00:00;14.27;True;False;collection
0;1043;2031-09-15T18:44:00+00:00;31;True;False;collection
0;1040;2031-07-31T17:55:00+00:00;31;True;False;collection
0;1013;2031-10-02T08:28:00+00:00;27;False;False;collection
0;1000;2031-10-01T08:28:00+00:00;27;False;False;collection
0;976;2031-08-31T12:53:00+00:00;27;True;True;collection
0;971;2031-09-22T10:48:00+00:00;27;False;True;collection
0;971;2031-09-24T17:13:00+00:00;27;True;True;collection
0;962;2031-07-26T01:30:00+00:00;27;True;True;collection
0;962;2031-07-30T17:10:00+00:00;27;False;True;collection
0;956;2031-07-24T08:40:00+00:00;27;True;True;collection
0;956;2031-08-17T12:00:00+00:00;27;True;True;collection
0;948;2031-07-22T10:35:00+00:00;27;True;True;collection
0;948;2031-08-02T15:24:00+00:00;27;False;True;collection
0;947;2031-09-17T18:50:00+00:00;27;True;True;collection
0;943;2031-07-17T09:39:00+00:00;27;True;True;collection
0;943;2031-07-26T18:46:00+00:00;27;False;True;collection
0;936;2031-10-01T01:20:00+00:00;27;True;True;collection
0;928;2031-07-23T10:55:00+00:00;27;True;True;collection
0;928;2031-08-10T19:41:00+00:00;27;False;True;collection
0;924;2031-07-14T11:13:00+00:00;27;True;True;collection
0;888;2031-07-23T10:55:00+00:00;27;True;True;collection
0;888;2031-08-17T12:00:00+00:00;27;True;True;collection
0;883;2031-07-20T12:50:00+00:00;31;True;True;collection
0;881;2031-07-20T23:50:00+00:00;10.6;False;True;collection
0;881;2031-08-18T23:20:00+00:00;10.6;False;True;collection
0;875;2031-07-25T18:46:00+00:00;10.43;False;True;collection
0;875;2031-08-18T23:20:00+00:00;10.43;False;True;collection
0;875;2031-09-12T17:36:00+00:00;10.43;False;True;collection
0;874;2031-07-06T22:44:00+00:00;10.4;False;True;collection
1;874;2031-08-06T22:29:00+00:00;10.4;False;True;collection
1;874;2031-08-31T23:28:00+00:00;10.43;False;True;collection
1;855;2031-09-30T17:26:00+00:00;33;True;True;collection
1;848;2031-07-30T12:56:00+00:00;9.64;False;True;collection
1;841;2031-07-29T12:03:00+00:00;9.64;True;True;collection
1;839;2031-07-30T12:56:00+00:00;9.6;False;True;collection
1;839;2031-09-15T18:44:00+00:00;9.6;True;True;collection
1;838;2031-09-09T17:54:00+00:00;9.64;True;True;collection
1;829;2031-09-17T17:45:00+00:00;9.64;True;True;collection
1;827;2031-07-23T17:14:00+00:00;9.64;True;True;collection
1;763;2031-08-28T14:25:00+00:00;27;True;True;collection
1;760;2031-09-02T00:55:00+00:00;27;True;True;collection
T418;756;2031-09-23T23:15:00+00:00;27;True;True;collection
T110;709;2031-07-23T12:30:00+00:00;28.52;False;True;collection
T223;708;2031-08-17T00:30:00+00:00;28.52;True;True;collection
T325;708;2031-09-09T11:18:00+00:00;28.52;True;True;collection
T66;701;2031-07-14T11:13:00+00:00;27;True;True;collection
T145;698;2031-07-30T12:42:00+00:00;27;True;True;collection
T286;698;2031-08-31T18:22:00+00:00;27;False;True;collection
T422;697;2031-09-24T19:37:00+00:00;27;True;True;collection
T422;691;2031-09-24T19:37:00+00:00;28.52;True;True;collection
T444;691;2031-09-29T13:24:00+00:00;28.52;False;True;collection
T7;689;2031-07-02T13:27:00+00:00;28.52;False;True;collection
T460;688;2031-10-01T19:58:00+00:00;28.52;True;True;collection
T66;685;2031-07-14T11:13:00+00:00;27;True;True;collection
T138;681;2031-07-29T11:50:00+00:00;27;True;True;collection
T286;681;2031-08-31T18:22:00+00:00;27;False;True;collection
T103;680;2031-07-22T13:33:00+00:00;28.52;True;True;collection
T47;678;2031-07-09T22:41:00+00:00;28.52;True;True;collection
T83;678;2031-07-16T13:01:00+00:00;28.52;False;True;collection
T66;677;2031-07-14T11:13:00+00:00;28.52;True;True;collection
T157;674;2031-08-03T00:13:00+00:00;31;False;True;collection
T97;665;2031-07-20T12:50:00+00:00;31;False;True;collection
T234;650;2031-08-18T13:23:00+00:00;16.5;True;True;collection
T297;631;2031-09-02T01:49:00+00:00;29.57;False;True;collection
T88;630;2031-07-16T22:43:00+00:00;29.57;False;True;collection
T400;628;2031-09-21T19:10:00+00:00;29.57;False;True;collection
T22;623;2031-07-06T00:10:00+00:00;29.57;False;True;collection
T271;619;2031-08-27T01:41:00+00:00;29.57;False;True;collection
T117;616;2031-07-24T00:55:00+00:00;29.57;False;True;collection
T64;615;2031-07-14T00:45:00+00:00;29.57;False;True;collection
T425;610;2031-09-25T14:57:00+00:00;29.57;False;True;collection
T50;607;2031-07-11T12:50:00+00:00;29.57;False;True;collection
T88;606;2031-07-16T22:43:00+00:00;29.57;False;True;collection
T64;605;2031-07-14T00:45:00+00:00;29.57;False;True;collection
T57;600;2031-07-13T00:35:00+00:00;29.57;False;True;collection
T439;597;2031-09-28T23:28:00+00:00;29.57;True;True;collection
T114;561;2031-07-23T17:14:00+00:00;9.64;True;True;collection
T152;555;2031-07-31T17:55:00+00:00;9.64;True;True;collection
T287;543;2031-08-31T19:29:00+00:00;9.64;True;True;collection
T380;543;2031-09-17T17:45:00+00:00;9.64;True;True;collection
T328;517;2031-09-09T17:54:00+00:00;9.64;True;True;collection
T114;475;2031-07-23T17:14:00+00:00;9.64;True;True;collection
T423;466;2031-09-25T01:10:00+00:00;13.86;False;True;collection
T423;464;2031-09-25T01:10:00+00:00;13.86;False;True;collection
T459;451;2031-10-01T08:28:00+00:00;14.02;False;True;collection
241243;440;2031-07-03T13:44:00+00:00;14.02;True;True;collection
241243;434;2031-09-22T22:54:00+00:00;13.64;True;True;collection
241243;433;2031-09-02T20:04:00+00:00;14.23;False;True;collection
241243;430;2031-07-15T17:30:00+00:00;14.23;True;True;collection
241243;414;2031-09-07T15:44:00+00:00;14.23;False;True;collection
241243;414;2031-09-13T16:05:00+00:00;14.23;False;True;collection
241243;411;2031-07-22T13:40:00+00:00;14.23;False;True;collection
241243;367;2031-07-22T13:40:00+00:00;13.86;False;True;collection
241243;344;2031-08-30T23:58:00+00:00;13.86;False;True;collection
241243;344;2031-09-01T13:00:00+00:00;13.86;False;True;collection
241243;303;2031-08-18T23:20:00+00:00;14.22;False;True;collection
241243;293;2031-07-24T00:55:00+00:00;14.22;False;True;collection
T456;285;2031-09-30T20:26:00+00:00;14.22;False;True;collection
T101;282;2031-07-21T00:50:00+00:00;14.22;False;True;collection
T417;271;2031-09-23T19:20:00+00:00;15.5;True;True;collection
T368;253;2031-09-16T10:56:00+00:00;15.5;True;True;collection
T415;253;2031-09-23T15:00:00+00:00;15.5;False;True;collection
T270;248;2031-08-26T23:14:00+00:00;15.5;False;True;collection
T320;248;2031-09-08T17:12:00+00:00;15.5;True;True;collection
T255;240;2031-08-24T15:30:00+00:00;15.5;False;True;collection
T139;237;2031-07-29T12:03:00+00:00;15.5;False;True;collection
T156;237;2031-08-02T11:05:00+00:00;15.5;True;True;collection
T137;234;2031-07-29T00:41:00+00:00;15.5;True;True;collection
T218;230;2031-08-15T17:58:00+00:00;15.5;False;True;collection
T329;211;2031-09-09T22:50:00+00:00;15.5;False;True;collection
T225;202;2031-08-17T12:00:00+00:00;15.5;False;True;collection
T223;197;2031-08-17T00:30:00+00:00;15.5;True;True;collection
T59;191;2031-07-13T12:56:00+00:00;15.5;False;True;collection
T75;191;2031-07-15T13:24:00+00:00;15.5;False;True;collection
T401;186;2031-09-21T23:40:00+00:00;15.5;False;True;collection
T306;185;2031-09-06T12:44:00+00:00;15.5;False;True;collection
T401;183;2031-09-21T23:40:00+00:00;15.5;False;True;collection
T118;167;2031-07-24T08:40:00+00:00;15.5;True;True;collection
T133;139;2031-07-28T12:42:00+00:00;15.5;False;True;collection
T144;139;2031-07-30T12:21:00+00:00;15.5;True;True;collection
T142;131;2031-07-29T23:23:00+00:00;15.5;True;True;collection
T14;130;2031-07-03T13:44:00+00:00;15.5;True;True;collection
T119;128;2031-07-24T12:50:00+00:00;15.5;False;True;collection
T128;128;2031-07-27T12:13:00+00:00;15.5;True;True;collection
T59;117;2031-07-13T12:56:00+00:00;15.5;False;True;collection
T75;117;2031-07-15T13:24:00+00:00;15.5;True;True;collection
T208;109;2031-08-13T05:43:00+00:00;15.5;True;True;collection
T255;103;2031-08-24T15:30:00+00:00;15.5;False;True;collection
T142;93;2031-07-29T23:23:00+00:00;9.64;True;True;collection
T462;77;2031-10-02T00:42:00+00:00;9.64;True;True;collection
T310;74;2031-09-07T15:44:00+00:00;9.64;True;True;collection
T224;65;2031-08-17T11:40:00+00:00;9.64;True;True;collection
T11;49;2031-07-02T22:53:00+00:00;9.64;True;True;collection
T11;47;2031-07-02T22:53:00+00:00;9.64;True;True;collection
T34;43;2031-07-07T22:56:00+00:00;9.64;True;True;collection
T159;39;2031-08-03T12:15:00+00:00;9.6412345;True;True;collection
T52;32;2031-07-11T22:02:00+00:00;10;False;True;collection
T206;32;2031-08-12T18:40:00+00:00;10;False;True;collection
T157;23;2031-08-03T00:13:00+00:00;31;False;True;collection
T67;20;2031-07-14T11:25:00+00:00;31.0;False;True;collection
T157;20;2031-08-03T00:13:00+00:00;31.0;False;True;collection
T149;13;2031-07-30T17:10:00+00:00;19.9;True;True;collection
T118;2;2031-07-24T08:40:00+00:00;19.9;False;True;collection
T129;2;2031-07-27T18:30:00+00:00;19.9;True;True;collection
T219;12411;2031-08-16T00:18:00+00:00;15.72;True;True;collection
T100;12400;2031-07-20T23:50:00+00:00;20.82;True;True;collection
T246;12400;2031-08-20T10:00:00+00:00;20.82;True;True;collection
T290;12400;2031-09-01T10:41:00+00:00;20.82;True;True;collection
T467;12400;2031-11-11T19:58:00+00:00;20.82;True;True;collection
T413;12397;2031-09-23T12:00:00+00:00;20.82;True;True;collection
T2;12394;2031-07-01T18:38:00+00:00;20.82;True;True;collection
T353;12386;2031-09-14T23:20:00+00:00;19.58;True;True;collection
T95;12385;2031-07-19T23:57:00+00:00;18.9;True;True;collection
T153;12383;2031-08-01T14:46:00+00:00;18.9;True;True;collection
T211;12381;2031-08-13T13:12:00+00:00;18.9;True;True;collection
T410;12366;2031-09-22T21:10:00+00:00;18.9;True;True;collection
T363;12361;2031-09-15T19:13:00+00:00;26.3;True;True;collection
T89;12355;2031-07-17T00:04:00+00:00;12.1;True;True;collection
T419;12353;2031-09-24T14:39:00+00:00;12.1;True;True;collection
T419;12352;2031-09-24T14:39:00+00:00;12.1;True;True;collection
T73;12349;2031-07-15T01:15:00+00:00;12.1;True;True;collection
T167;12331;2031-08-04T13:53:00+00:00;16.4;True;True;collection
T204;123456789012345;2031-08-12T14:46:00+00:00;20.76;True;True;collection
T318;1234567890123450;2031-09-08T16:25:00+00:00;20.76;False;True;collection
T112;12319;2031-07-23T16:25:00+00:00;20.76;True;True;collection
T32;12313;2031-07-07T16:35:00+00:00;20.76;True;True;collection
T51;318166502860;2031-07-11T15:40:00+00:00;26.24;False;True;collection
T71;318166502860;2031-07-14T17:56:00+00:00;26.24;True;True;collection
T127;318166502860;2031-07-27T10:45:00+00:00;26.24;False;True;collection
