train_id,arrival_date,arrival_time,wagon_id,length,is_loaded,needs_retrofit
TRAIN01,2025-01-15,08:00,WAGON01_01,15.5,true,true
TRAIN01,2025-01-15,08:00,WAGON01_02,15.5,false,true
TRAIN01,2025-01-15,08:00,WAGON01_03,15.5,true,true
TRAIN01,2025-01-15,08:00,WAGON01_04,15.5,true,false
TRAIN01,2025-01-15,08:00,WAGON01_05,15.5,true,true
TRAIN01,2025-01-15,08:00,WAGON01_06,15.5,false,true
TRAIN01,2025-01-15,08:00,WAGON01_07,15.5,true,true
TRAIN01,2025-01-15,08:00,WAGON01_08,15.5,true,false
TRAIN01,2025-01-15,08:00,WAGON01_09,15.5,true,true
TRAIN01,2025-01-15,08:00,WAGON01_10,15.5,false,true
TRAIN01,2025-01-15,08:00,WAGON01_11,15.5,true,true
TRAIN01,2025-01-15,08:00,WAGON01_12,15.5,true,false
TRAIN01,2025-01-15,08:00,WAGON01_13,15.5,true,true
TRAIN01,2025-01-15,08:00,WAGON01_14,15.5,false,true
TRAIN01,2025-01-15,08:00,WAGON01_15,15.5,true,true
TRAIN01,2025-01-15,08:00,WAGON01_16,15.5,true,false
TRAIN01,2025-01-15,08:00,WAGON01_17,15.5,true,true
TRAIN01,2025-01-15,08:00,WAGON01_18,15.5,false,true
TRAIN01,2025-01-15,08:00,WAGON01_19,15.5,true,true
TRAIN01,2025-01-15,08:00,WAGON01_20,15.5,true,false
TRAIN01,2025-01-15,08:00,WAGON01_21,15.5,true,true
TRAIN01,2025-01-15,08:00,WAGON01_22,15.5,false,true
TRAIN01,2025-01-15,08:00,WAGON01_23,15.5,true,true
TRAIN01,2025-01-15,08:00,WAGON01_24,15.5,true,false
TRAIN01,2025-01-15,08:00,WAGON01_25,15.5,true,true
TRAIN01,2025-01-15,08:00,WAGON01_26,15.5,false,true
TRAIN01,2025-01-15,08:00,WAGON01_27,15.5,true,true
TRAIN01,2025-01-15,08:00,WAGON01_28,15.5,true,false
TRAIN01,2025-01-15,08:00,WAGON01_29,15.5,true,true
TRAIN01,2025-01-15,08:00,WAGON01_30,15.5,false,true
TRAIN01,2025-01-15,08:00,WAGON01_31,15.5,true,true
TRAIN01,2025-01-15,08:00,WAGON01_32,15.5,true,false
TRAIN01,2025-01-15,08:00,WAGON01_33,15.5,true,true
TRAIN01,2025-01-15,08:00,WAGON01_34,15.5,false,true
TRAIN01,2025-01-15,08:00,WAGON01_35,15.5,true,true
TRAIN01,2025-01-15,08:00,WAGON01_36,15.5,true,false
TRAIN01,2025-01-15,08:00,WAGON01_37,15.5,true,true
TRAIN01,2025-01-15,08:00,WAGON01_38,15.5,false,true
TRAIN01,2025-01-15,08:00,WAGON01_39,15.5,true,true
TRAIN01,2025-01-15,08:00,WAGON01_40,15.5,true,false
TRAIN02,2025-01-15,12:00,WAGON02_01,18.5,true,true
TRAIN02,2025-01-15,12:00,WAGON02_02,18.5,true,false
TRAIN02,2025-01-15,12:00,WAGON02_03,18.5,true,true
TRAIN02,2025-01-15,12:00,WAGON02_04,18.5,false,true
TRAIN02,2025-01-15,12:00,WAGON02_05,18.5,true,true
TRAIN02,2025-01-15,12:00,WAGON02_06,18.5,true,false
TRAIN02,2025-01-15,12:00,WAGON02_07,18.5,true,true
TRAIN02,2025-01-15,12:00,WAGON02_08,18.5,false,true
TRAIN02,2025-01-15,12:00,WAGON02_09,18.5,true,true
TRAIN02,2025-01-15,12:00,WAGON02_10,18.5,false,true
TRAIN02,2025-01-15,12:00,WAGON02_11,18.5,true,true
TRAIN02,2025-01-15,12:00,WAGON02_12,18.5,true,false
TRAIN02,2025-01-15,12:00,WAGON02_13,18.5,true,true
TRAIN02,2025-01-15,12:00,WAGON02_14,18.5,false,true
TRAIN02,2025-01-15,12:00,WAGON02_15,18.5,true,true
TRAIN02,2025-01-15,12:00,WAGON02_16,18.5,true,false
TRAIN02,2025-01-15,12:00,WAGON02_17,18.5,true,true
TRAIN02,2025-01-15,12:00,WAGON02_18,18.5,false,true
TRAIN02,2025-01-15,12:00,WAGON02_19,18.5,true,true
TRAIN02,2025-01-15,12:00,WAGON02_20,18.5,true,false
TRAIN02,2025-01-15,12:00,WAGON02_21,18.5,true,true
TRAIN02,2025-01-15,12:00,WAGON02_22,18.5,false,true
TRAIN02,2025-01-15,12:00,WAGON02_23,18.5,true,true
TRAIN02,2025-01-15,12:00,WAGON02_24,18.5,true,false
TRAIN02,2025-01-15,12:00,WAGON02_25,18.5,true,true
TRAIN02,2025-01-15,12:00,WAGON02_26,18.5,false,true
TRAIN02,2025-01-15,12:00,WAGON02_27,18.5,true,true
TRAIN02,2025-01-15,12:00,WAGON02_28,18.5,true,false
TRAIN02,2025-01-15,12:00,WAGON02_29,18.5,true,true
TRAIN02,2025-01-15,12:00,WAGON02_30,18.5,false,true
TRAIN02,2025-01-15,12:00,WAGON02_31,18.5,true,true
TRAIN02,2025-01-15,12:00,WAGON02_32,18.5,true,false
TRAIN02,2025-01-15,12:00,WAGON02_33,18.5,true,true
TRAIN02,2025-01-15,12:00,WAGON02_34,18.5,false,true
TRAIN02,2025-01-15,12:00,WAGON02_35,18.5,true,true
TRAIN02,2025-01-15,12:00,WAGON02_36,18.5,true,false
TRAIN02,2025-01-15,12:00,WAGON02_37,18.5,true,true
TRAIN02,2025-01-15,12:00,WAGON02_38,18.5,false,true
TRAIN02,2025-01-15,12:00,WAGON02_39,18.5,true,true
TRAIN02,2025-01-15,12:00,WAGON02_40,18.5,true,false
TRAIN03,2025-01-16,08:00,WAGON03_01,16.0,true,true
TRAIN03,2025-01-16,08:00,WAGON03_02,16.0,false,true
TRAIN03,2025-01-16,08:00,WAGON03_03,16.0,true,true
TRAIN03,2025-01-16,08:00,WAGON03_04,16.0,true,false
TRAIN03,2025-01-16,08:00,WAGON03_05,16.0,true,true
TRAIN03,2025-01-16,08:00,WAGON03_06,16.0,false,true
TRAIN03,2025-01-16,08:00,WAGON03_07,16.0,true,true
TRAIN03,2025-01-16,08:00,WAGON03_08,16.0,true,false
TRAIN03,2025-01-16,08:00,WAGON03_09,16.0,true,true
TRAIN03,2025-01-16,08:00,WAGON03_10,16.0,false,true
TRAIN03,2025-01-16,08:00,WAGON03_11,16.0,true,true
TRAIN03,2025-01-16,08:00,WAGON03_12,16.0,true,false
TRAIN03,2025-01-16,08:00,WAGON03_13,16.0,true,true
TRAIN03,2025-01-16,08:00,WAGON03_14,16.0,false,true
TRAIN03,2025-01-16,08:00,WAGON03_15,16.0,true,true
TRAIN03,2025-01-16,08:00,WAGON03_16,16.0,true,false
TRAIN03,2025-01-16,08:00,WAGON03_17,16.0,true,true
TRAIN03,2025-01-16,08:00,WAGON03_18,16.0,false,true
TRAIN03,2025-01-16,08:00,WAGON03_19,16.0,true,true
TRAIN03,2025-01-16,08:00,WAGON03_20,16.0,true,false
TRAIN03,2025-01-16,08:00,WAGON03_21,16.0,true,true
TRAIN03,2025-01-16,08:00,WAGON03_22,16.0,false,true
TRAIN03,2025-01-16,08:00,WAGON03_23,16.0,true,true
TRAIN03,2025-01-16,08:00,WAGON03_24,16.0,true,false
TRAIN03,2025-01-16,08:00,WAGON03_25,16.0,true,true
TRAIN03,2025-01-16,08:00,WAGON03_26,16.0,false,true
TRAIN03,2025-01-16,08:00,WAGON03_27,16.0,true,true
TRAIN03,2025-01-16,08:00,WAGON03_28,16.0,true,false
TRAIN03,2025-01-16,08:00,WAGON03_29,16.0,true,true
TRAIN03,2025-01-16,08:00,WAGON03_30,16.0,false,true
TRAIN03,2025-01-16,08:00,WAGON03_31,16.0,true,true
TRAIN03,2025-01-16,08:00,WAGON03_32,16.0,true,false
TRAIN03,2025-01-16,08:00,WAGON03_33,16.0,true,true
TRAIN03,2025-01-16,08:00,WAGON03_34,16.0,false,true
TRAIN03,2025-01-16,08:00,WAGON03_35,16.0,true,true
TRAIN03,2025-01-16,08:00,WAGON03_36,16.0,true,false
TRAIN03,2025-01-16,08:00,WAGON03_37,16.0,true,true
TRAIN03,2025-01-16,08:00,WAGON03_38,16.0,false,true
TRAIN03,2025-01-16,08:00,WAGON03_39,16.0,true,true
TRAIN03,2025-01-16,08:00,WAGON03_40,16.0,true,false
TRAIN04,2025-01-16,14:00,WAGON04_01,17.0,true,true
TRAIN04,2025-01-16,14:00,WAGON04_02,17.0,true,false
TRAIN04,2025-01-16,14:00,WAGON04_03,17.0,true,true
TRAIN04,2025-01-16,14:00,WAGON04_04,17.0,false,true
TRAIN04,2025-01-16,14:00,WAGON04_05,17.0,true,true
TRAIN04,2025-01-16,14:00,WAGON04_06,17.0,true,false
TRAIN04,2025-01-16,14:00,WAGON04_07,17.0,true,true
TRAIN04,2025-01-16,14:00,WAGON04_08,17.0,false,true
TRAIN04,2025-01-16,14:00,WAGON04_09,17.0,true,true
TRAIN04,2025-01-16,14:00,WAGON04_10,17.0,false,true
TRAIN04,2025-01-16,14:00,WAGON04_11,17.0,true,true
TRAIN04,2025-01-16,14:00,WAGON04_12,17.0,true,false
TRAIN04,2025-01-16,14:00,WAGON04_13,17.0,true,true
TRAIN04,2025-01-16,14:00,WAGON04_14,17.0,false,true
TRAIN04,2025-01-16,14:00,WAGON04_15,17.0,true,true
TRAIN04,2025-01-16,14:00,WAGON04_16,17.0,true,false
TRAIN04,2025-01-16,14:00,WAGON04_17,17.0,true,true
TRAIN04,2025-01-16,14:00,WAGON04_18,17.0,false,true
TRAIN04,2025-01-16,14:00,WAGON04_19,17.0,true,true
TRAIN04,2025-01-16,14:00,WAGON04_20,17.0,true,false
TRAIN04,2025-01-16,14:00,WAGON04_21,17.0,true,true
TRAIN04,2025-01-16,14:00,WAGON04_22,17.0,false,true
TRAIN04,2025-01-16,14:00,WAGON04_23,17.0,true,true
TRAIN04,2025-01-16,14:00,WAGON04_24,17.0,true,false
TRAIN04,2025-01-16,14:00,WAGON04_25,17.0,true,true
TRAIN04,2025-01-16,14:00,WAGON04_26,17.0,false,true
TRAIN04,2025-01-16,14:00,WAGON04_27,17.0,true,true
TRAIN04,2025-01-16,14:00,WAGON04_28,17.0,true,false
TRAIN04,2025-01-16,14:00,WAGON04_29,17.0,true,true
TRAIN04,2025-01-16,14:00,WAGON04_30,17.0,false,true
TRAIN04,2025-01-16,14:00,WAGON04_31,17.0,true,true
TRAIN04,2025-01-16,14:00,WAGON04_32,17.0,true,false
TRAIN04,2025-01-16,14:00,WAGON04_33,17.0,true,true
TRAIN04,2025-01-16,14:00,WAGON04_34,17.0,false,true
TRAIN04,2025-01-16,14:00,WAGON04_35,17.0,true,true
TRAIN04,2025-01-16,14:00,WAGON04_36,17.0,true,false
TRAIN04,2025-01-16,14:00,WAGON04_37,17.0,true,true
TRAIN04,2025-01-16,14:00,WAGON04_38,17.0,false,true
TRAIN04,2025-01-16,14:00,WAGON04_39,17.0,true,true
TRAIN04,2025-01-16,14:00,WAGON04_40,17.0,true,false
